Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","10uF","C_0201_0603Metric",53.340000,-36.830000,180.000000,top
"C2","10uF","C_0201_0603Metric",53.340000,-34.290000,180.000000,top
"D1","1N5819","D_SOD-323",50.292000,-32.512000,90.000000,top
"D2","LED","LED_0201_0603Metric",53.340000,-31.750000,180.000000,top
"J3","QWIIC","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal",77.216000,-34.544000,90.000000,top
"Q1","S8050","SOT-23",57.150000,-33.020000,0.000000,top
"Q2","S8050","SOT-23",64.675000,-33.020000,0.000000,top
"R1","12k","R_0201_0603Metric",60.960000,-31.750000,0.000000,top
"R2","12k","R_0201_0603Metric",60.960000,-34.290000,0.000000,top
"U1","ESP-12F","ESP-12E",37.338000,-35.306000,0.000000,top
"U2","AMS1117-3.3","SOT-223-3_TabPin2",59.690000,-39.370000,180.000000,top
